2024-07-25 16:19:00,055: t
2024-07-25 16:19:00,334: e
2024-07-25 16:19:00,550: s
2024-07-25 16:19:00,846: t
2024-07-25 16:19:01,014: a
2024-07-25 16:19:01,190: n
2024-07-25 16:19:01,287: d
2024-07-25 16:19:01,662: o
2024-07-25 16:19:01,871: Key.space
2024-07-25 16:19:02,368: o
2024-07-25 16:19:02,502: Key.space
2024-07-25 16:19:02,702: c
2024-07-25 16:19:03,395: ´
2024-07-25 16:19:03,663: o
2024-07-25 16:19:03,839: d
2024-07-25 16:19:04,086: i
2024-07-25 16:19:04,191: g
2024-07-25 16:19:05,422: o
2024-07-25 16:19:08,447: Key.backspace
2024-07-25 16:19:08,962: Key.backspace
2024-07-25 16:19:08,993: Key.backspace
2024-07-25 16:19:09,022: Key.backspace
2024-07-25 16:19:09,055: Key.backspace
2024-07-25 16:19:09,086: Key.backspace
2024-07-25 16:19:09,116: Key.backspace
2024-07-25 16:19:09,146: Key.backspace
2024-07-25 16:19:09,178: Key.backspace
2024-07-25 16:19:09,224: Key.backspace
2024-07-25 16:19:09,256: Key.backspace
2024-07-25 16:19:09,288: Key.backspace
2024-07-25 16:19:09,319: Key.backspace
2024-07-25 16:19:09,349: Key.backspace
2024-07-25 16:19:09,381: Key.backspace
2024-07-25 16:19:09,410: Key.backspace
2024-07-25 16:19:09,457: Key.backspace
2024-07-25 16:19:09,488: Key.backspace
2024-07-25 16:19:09,520: Key.backspace
2024-07-25 16:19:09,552: Key.backspace
2024-07-25 16:19:09,583: Key.backspace
2024-07-25 16:19:09,646: f
2024-07-25 16:19:09,822: a
2024-07-25 16:19:10,096: c
2024-07-25 16:19:10,415: e
2024-07-25 16:19:10,783: b
2024-07-25 16:19:10,967: o
2024-07-25 16:19:11,135: o
2024-07-25 16:19:11,326: k
2024-07-25 16:19:11,574: Key.enter
